Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:24.1,"urn:cite:hmt:vaimg.VA314VN-0816@0.854,0.4489,0.053,0.0195",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAint.hmt:24.2,"urn:cite:hmt:vaimg.VA316VN-0818@0.856,0.4505,0.052,0.0233",urn:cite:hmt:msA.316v
urn:cts:greekLit:tlg5026.msAint.hmt:24.3,"urn:cite:hmt:vaimg.VA317VN-0819@0.849,0.3664,0.066,0.0405",urn:cite:hmt:msA.317v
urn:cts:greekLit:tlg5026.msAint.hmt:24.4,"urn:cite:hmt:vaimg.VA317VN-0819@0.838,0.548,0.076,0.033",urn:cite:hmt:msA.317v
urn:cts:greekLit:tlg5026.msAint.hmt:24.5,"urn:cite:hmt:vaimg.VA318RN-0488@0.111,0.4745,0.057,0.0323",urn:cite:hmt:msA.318r
urn:cts:greekLit:tlg5026.msAint.hmt:24.6,"urn:cite:hmt:vaimg.VA318RN-0488@0.112,0.5503,0.068,0.0413",urn:cite:hmt:msA.318r
urn:cts:greekLit:tlg5026.msAint.hmt:24.7,"urn:cite:hmt:vaimg.VA318VN-0820@0.854,0.5113,0.06,0.0308",urn:cite:hmt:msA.318v
urn:cts:greekLit:tlg5026.msAint.hmt:24.8,"urn:cite:hmt:vaimg.VA321RN-0491@0.096,0.4505,0.065,0.0458",urn:cite:hmt:msA.321r
urn:cts:greekLit:tlg5026.msAint.hmt:24.9,"urn:cite:hmt:vaimg.VA322RN-0492@0.106,0.3949,0.067,0.0278",urn:cite:hmt:msA.322r
urn:cts:greekLit:tlg5026.msAint.hmt:24.10,"urn:cite:hmt:vaimg.VA322RN-0492@0.102,0.4182,0.069,0.0405",urn:cite:hmt:msA.322r
urn:cts:greekLit:tlg5026.msAint.hmt:24.11,"urn:cite:hmt:vaimg.VA322VN-0824@0.878,0.247,0.052,0.0315",urn:cite:hmt:msA.322v
urn:cts:greekLit:tlg5026.msAint.hmt:24.12,"urn:cite:hmt:vaimg.VA322VN-0824@0.858,0.5803,0.055,0.0323",urn:cite:hmt:msA.322v
