Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:24.1,"urn:cite:hmt:vaimg.VA314RN-0484@0.663,0.3776,0.036,0.0285",urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msAim.hmt:24.2,"urn:cite:hmt:vaimg.VA314VN-0816@0.398,0.2275,0.071,0.0383",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAim.hmt:24.3,"urn:cite:hmt:vaimg.VA314VN-0816@0.401,0.3108,0.06,0.0435",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAim.hmt:24.4,"urn:cite:hmt:vaimg.VA314VN-0816@0.399,0.4324,0.069,0.0676",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAim.hmt:24.5,"urn:cite:hmt:vaimg.VA314VN-0816@0.406,0.5751,0.054,0.0435",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAim.hmt:24.6,"urn:cite:hmt:vaimg.VA314VN-0816@0.402,0.6186,0.061,0.03",urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msAim.hmt:24.7,"urn:cite:hmt:vaimg.VA315RN-0485@0.602,0.3288,0.035,0.0405",urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msAim.hmt:24.8,"urn:cite:hmt:vaimg.VA315VN-0817@0.413,0.2793,0.054,0.027",urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msAim.hmt:24.9,"urn:cite:hmt:vaimg.VA315VN-0817@0.413,0.5646,0.054,0.024",urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msAim.hmt:24.10,"urn:cite:hmt:vaimg.VA315VN-0817@0.417,0.5856,0.054,0.0683",urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msAim.hmt:24.11,"urn:cite:hmt:vaimg.VA316RN-0486@0.603,0.3529,0.074,0.0338",urn:cite:hmt:msA.316r
