Text#Image#Folio
urn:cts:greekLit:tlg5026.msA.hmt:24.A1#urn:cite:hmt:vaimg.VA310VN-0812@0.213,0.5826,0.209,0.1644#urn:cite:hmt:msA.310v
urn:cts:greekLit:tlg5026.msA.hmt:24.A2#urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.0811,0.61,0.0751#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A3#urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.1411,0.597,0.024#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A4#urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.1509,0.615,0.1051#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A5#urn:cite:hmt:vaimg.VA311RN-0481@0.643,0.2523,0.186,0.024#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A6#urn:cite:hmt:vaimg.VA311RN-0481@0.648,0.2763,0.188,0.0578#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A7#urn:cite:hmt:vaimg.VA311RN-0481@0.64,0.3326,0.196,0.0848#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A8#urn:cite:hmt:vaimg.VA311RN-0481@0.201,0.4129,0.63,0.2995#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A9#urn:cite:hmt:vaimg.VA311RN-0481@0.202,0.6922,0.62,0.0345#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A10#urn:cite:hmt:vaimg.VA311RN-0481@0.206,0.7102,0.617,0.0616#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A11#urn:cite:hmt:vaimg.VA311RN-0481@0.201,0.7545,0.639,0.0818#urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.B1#urn:cite:hmt:vaimg.VA311VN-0813@0.231,0.1216,0.642,0.033#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B2#urn:cite:hmt:vaimg.VA311VN-0813@0.544,0.1351,0.329,0.0158#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B3#urn:cite:hmt:vaimg.VA311VN-0813@0.238,0.1471,0.552,0.0203#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B4#urn:cite:hmt:vaimg.VA311VN-0813@0.22,0.4565,0.218,0.1659#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B5#urn:cite:hmt:vaimg.VA311VN-0813@0.221,0.6171,0.526,0.1269#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B6#urn:cite:hmt:vaimg.VA311VN-0813@0.225,0.7312,0.652,0.0398#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.B7#urn:cite:hmt:vaimg.VA311VN-0813@0.227,0.7628,0.655,0.0413#urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg5026.msA.hmt:24.C1#urn:cite:hmt:vaimg.VA312RN-0482@0.2204,0.0797,0.5993,0.0611# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C2#urn:cite:hmt:vaimg.VA312RN-0482@0.2231,0.1377,0.6188,0.0203# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C3#urn:cite:hmt:vaimg.VA312RN-0482@0.653,0.4478,0.1776,0.1636# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C4#urn:cite:hmt:vaimg.VA312RN-0482@0.6472,0.6112,0.1796,0.0851# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C5#urn:cite:hmt:vaimg.VA312RN-0482@0.2086,0.6861,0.6096,0.0369# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C6#urn:cite:hmt:vaimg.VA312RN-0482@0.2026,0.7148,0.6116,0.0347# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.C7#urn:cite:hmt:vaimg.VA312RN-0482@0.1951,0.7408,0.5548,0.0283# urn:cite:hmt:msA.312r
urn:cts:greekLit:tlg5026.msA.hmt:24.D1#urn:cite:hmt:vaimg.VA312VN-0814@0.2275,0.1149,0.644,0.0427#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D2#urn:cite:hmt:vaimg.VA312VN-0814@0.2301,0.1438,0.6514,0.0562#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D3#urn:cite:hmt:vaimg.VA312VN-0814@0.2296,0.1889,0.6541,0.0222#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D4#urn:cite:hmt:vaimg.VA312VN-0814@0.2812,0.2,0.2756,0.015#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D5#urn:cite:hmt:vaimg.VA312VN-0814@0.2259,0.2087,0.1966,0.0392#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D6#urn:cite:hmt:vaimg.VA312VN-0814@0.2211,0.2399,0.2029,0.055#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D7#urn:cite:hmt:vaimg.VA312VN-0814@0.211,0.4793,0.2132,0.126#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D8#urn:cite:hmt:vaimg.VA312VN-0814@0.212,0.6042,0.2132,0.0705#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D9#urn:cite:hmt:vaimg.VA312VN-0814@0.2135,0.6665,0.2709,0.0761#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D10#urn:cite:hmt:vaimg.VA312VN-0814@0.2184,0.7169,0.6452,0.0369#urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.X1#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6606,0.2506,0.1796,0.05228#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X2#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6479,0.2968,0.2104,0.06501#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X3#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6680,0.3585,0.1669,0.03679#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X4#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6562,0.3888,0.1982,0.1432#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X5#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6549,0.5297,0.1805,0.03914#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X6#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.6579,0.5668,0.1723,0.08340#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X7#urn:cite2:hmt:vaimg.2017a:VA313RN_0483@0.2181,0.6880,0.6081,0.03112#urn:cite:hmt:msA.313r
urn:cts:greekLit:tlg5026.msA.hmt:24.X8#urn:cite2:hmt:vaimg.2017a:VA313VN_0815@0.2303,0.1160,0.6750,0.06611#urn:cite:hmt:msA.313v
urn:cts:greekLit:tlg5026.msA.hmt:24.X9#urn:cite2:hmt:vaimg.2017a:VA313VN_0815@0.2292,0.1589,0.6667,0.03167#urn:cite:hmt:msA.313v
urn:cts:greekLit:tlg5026.msA.hmt:24.X10#urn:cite2:hmt:vaimg.2017a:VA313VN_0815@0.2148,0.5072,0.1999,0.05048#urn:cite:hmt:msA.313v
urn:cts:greekLit:tlg5026.msA.hmt:24.X11#urn:cite2:hmt:vaimg.2017a:VA313VN_0815@0.2137,0.5477,0.2047,0.07718#urn:cite:hmt:msA.313v
urn:cts:greekLit:tlg5026.msA.hmt:24.1#urn:cite:hmt:vaimg.VA314RN-0484@0.694,0.3438,0.145,0.0631#urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msA.hmt:24.2#urn:cite:hmt:vaimg.VA314RN-0484@0.681,0.4017,0.168,0.0901#urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msA.hmt:24.3#urn:cite:hmt:vaimg.VA314RN-0484@0.675,0.4827,0.168,0.0676#urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msA.hmt:24.4#urn:cite:hmt:vaimg.VA314RN-0484@0.675,0.5495,0.186,0.045#urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msA.hmt:24.5#urn:cite:hmt:vaimg.VA314RN-0484@0.665,0.5916,0.195,0.0465#urn:cite:hmt:msA.314r
urn:cts:greekLit:tlg5026.msA.hmt:24.6#urn:cite:hmt:vaimg.VA314VN-0816@0.198,0.4572,0.225,0.0631#urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msA.hmt:24.7#urn:cite:hmt:vaimg.VA314VN-0816@0.2,0.5143,0.216,0.1824#urn:cite:hmt:msA.314v
urn:cts:greekLit:tlg5026.msA.hmt:24.8#urn:cite:hmt:vaimg.VA315RN-0485@0.188,0.0818,0.619,0.0368#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.9#urn:cite:hmt:vaimg.VA315RN-0485@0.201,0.0983,0.606,0.0353#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.10#urn:cite:hmt:vaimg.VA315RN-0485@0.193,0.1104,0.619,0.0428#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.11#urn:cite:hmt:vaimg.VA315RN-0485@0.197,0.1224,0.598,0.03#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.12#urn:cite:hmt:vaimg.VA315RN-0485@0.196,0.1351,0.629,0.1134#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.13#urn:cite:hmt:vaimg.VA315RN-0485@0.628,0.2387,0.174,0.039#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.14#urn:cite:hmt:vaimg.VA315RN-0485@0.622,0.2958,0.192,0.0586#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.15#urn:cite:hmt:vaimg.VA315RN-0485@0.627,0.3491,0.207,0.2095#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.16#urn:cite:hmt:vaimg.VA315RN-0485@0.631,0.5511,0.212,0.0541#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.17#urn:cite:hmt:vaimg.VA315RN-0485@0.629,0.5968,0.174,0.0458#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.18#urn:cite:hmt:vaimg.VA315RN-0485@0.623,0.6239,0.179,0.0796#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.19#urn:cite:hmt:vaimg.VA315RN-0485@0.174,0.6899,0.633,0.0998#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.20#urn:cite:hmt:vaimg.VA315RN-0485@0.173,0.7688,0.637,0.0383#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.21#urn:cite:hmt:vaimg.VA315RN-0485@0.184,0.7875,0.628,0.0443#urn:cite:hmt:msA.315r
urn:cts:greekLit:tlg5026.msA.hmt:24.22#urn:cite:hmt:vaimg.VA315VN-0817@0.16,0.1809,0.272,0.0593#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.23#urn:cite:hmt:vaimg.VA315VN-0817@0.213,0.2778,0.215,0.2335#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.24#urn:cite:hmt:vaimg.VA315VN-0817@0.211,0.5,0.214,0.0556#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.25#urn:cite:hmt:vaimg.VA315VN-0817@0.21,0.539,0.217,0.0751#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.26#urn:cite:hmt:vaimg.VA315VN-0817@0.215,0.6051,0.208,0.0638#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.27#urn:cite:hmt:vaimg.VA315VN-0817@0.223,0.6532,0.204,0.0405#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.28#urn:cite:hmt:vaimg.VA315VN-0817@0.22,0.6779,0.209,0.0623#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.29#urn:cite:hmt:vaimg.VA315VN-0817@0.203,0.7312,0.691,0.0338#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.30#urn:cite:hmt:vaimg.VA315VN-0817@0.224,0.7395,0.667,0.0375#urn:cite:hmt:msA.315v
urn:cts:greekLit:tlg5026.msA.hmt:24.31#urn:cite:hmt:vaimg.VA316RN-0486@0.178,0.0713,0.614,0.0473#urn:cite:hmt:msA.316r
